"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-20",,,,,"0.00",",,7","0.0",",,7","0.0",",,7",,,"11",",,7","14",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-21",,,,,"0.01",",,7","0.0",",,7","0.0",",,7","26",",,7","13",",,7","14",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-22",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","27",",,7","6",",,7","7",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-23",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","33",",,7","7",",,7","14",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-24",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","45",",,7","14",",,7","25",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-25",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","38",",,7","18",",,7","20",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-26",,,,,"0.07",",,7","0.0",",,7","0.0",",,7","52",",,7","20",",,7","37",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-27",,,,,"0.08",",,7","0.0",",,7","0.0",",,7","41",",,7","27",",,7","35",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-28",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","50",",,7","22",",,7","22",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-29",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","59",",,7","22",",,7","31",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-30",,,,,"0.02",",,7","0.0",",,7","0.0",",,7","65",",,7",,,"50",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-31",,,,,"0.73",",,7","0.0",",,7","0.0",",,7","66",",,7","50",",,7","55",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-01",,,,,"0.00",",,7","0.0",",,7","0.0",",,7",,,"38",",,7","50",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-02",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","52",",,7","40",",,7","40",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-03",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","70",",,7","33",",,7","40",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-04",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","72",",,7","40",",,7","53",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-05",,,,,,,"0.0",",,7","0.0",",,7","64",",,7","50",",,7","50",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-06",,,,,,,"0.0",",,7","0.0",",,7","70",",,7","50",",,7","63",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-07",,,,,,,"0.0",",,7","0.0",",,7","69",",,7","48",",,7","48",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-08",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","61",",,7","47",",,7","61",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-09",,,,,"0.17",",,7","0.0",",,7","0.0",",,7","74",",,7","40",",,7","41",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-10",,,,,,,"0.0",",,7","0.0",",,7","41",",,7","35",",,7","35",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-11",,,,,"0.17",",,7","0.0",",,7","0.0",",,7","50",",,7","35",",,7","40",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-12",,,,,"1.33",",,7","0.0",",,7","0.0",",,7","46",",,7","40",",,7","42",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-13",,,,,"0.80",",,7","0.0",",,7","0.0",",,7","57",",,7","33",",,7","34",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-14",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","38",",,7","25",",,7","26",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-15",,,,,,,"0.0",",,7","0.0",",,7","60",",,7","24",",,7","58",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-16",,,,,"1.65",",,7","0.0",",,7","0.0",",,7","71",",,7","34",",,7","34",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-17",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","34",",,7","26",",,7","26",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-18",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","43",",,7","26",",,7","31",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-19",,,,,"0.23",",,7","1.5",",,7","2.0",",,7","43",",,7","22",",,7","22",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-20",,,,,"0.00",",,7","0.0",",,7",,,"26",",,7","12",",,7","12",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-21",,,,,"0.00",",,7","0.0",",,7",,,"26",",,7","11",",,7","15",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-22",,,,,"0.00",",,7","0.0",",,7",,,"37",",,7","15",",,7","23",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-23",,,,,"0.00",",,7","0.0",",,7",,,"45",",,7","23",",,7","29",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-24",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","52",",,7","20",",,7","25",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-25",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","65",",,7","25",",,7","33",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-26",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","74",",,7","33",",,7","41",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-27",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","78",",,7","41",",,7","52",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-02-28",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","66",",,7","31",",,7","34",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-01",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","71",",,7","33",",,7","54",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-02",,,,,"0.00",",,7","0.0",",,7","0.0",",,7",,,"28",",,7","32",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-03",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","51",",,7","32",",,7","35",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-04",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","67",",,7","35",",,7","55",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-05",,,,,"1.13",",,7","0.0",",,7","0.0",",,7","67",",,7","44",",,7","44",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-06",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","45",",,7","31",",,7","34",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-07",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","55",",,7","34",",,7","44",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-08",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","65",",,7","44",",,7","49",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-09",,,,,,,"0.0",",,7","0.0",",,7",,,"44",",,7","51",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-10",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","63",",,7","39",",,7","39",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-11",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","70",",,7","33",",,7","33",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-12",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","78",",,7","33",",,7","40",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-13",,,,,,,"0.0",",,7","0.0",",,7","78",",,7","40",",,7","60",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-14",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","73",",,7","54",",,7","60",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-15",,,,,"0.65",",,7","0.0",",,7","0.0",",,7","79",",,7","60",",,7","65",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-16",,,,,"1.85",",,7","0.0",",,7","0.0",",,7",,,"50",",,7","51",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-17",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","54",",,7","29",",,7","30",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-18",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","66",",,7","29",",,7","45",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-19",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","78",",,7","45",",,7","58",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-20",,,,,"0.03",",,7","0.0",",,7","0.0",",,7","74",",,7","43",",,7","43",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-21",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","52",",,7","26",",,7","27",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-22",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","65",",,7","26",",,7","44",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-23",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","71",",,7","40",",,7","47",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-24",,,,,,,"0.0",",,7","0.0",",,7","74",",,7","45",",,7","48",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-25","    2",",,7","0.71",",,7",,,"0.0",",,7","0.0",",,7","73",",,7","45",",,7","45",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-26",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","71",",,7","43",",,7","47",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-27",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","76",",,7","40",",,7","41",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-28",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","74",",,7","41",",,7","42",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-29",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","82",",,7","42",",,7","53",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-30",,,,,"0.10",",,7","0.0",",,7","0.0",",,7","80",",,7","53",",,7","66",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-03-31",,,,,"0.87",",,7","0.0",",,7","0.0",",,7","78",",,7","66",",,7","66",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-04-29",,,,,"0.00",",,H",,,,,"89",",,H","59",",,H","71",",,H"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-04-30",,,,,"0.00",",,H",,,,,"86",",,H","63",",,H","65",",,H"
